ID_Cliente,Nome_Completo,Idade,Sexo,CPF,Estado,Cidade,Região,Tempo_de_Casa,Perfil_Investidor,Patrimonio_Total,Renda_Fixa,Acoes,FIIs,Cripto,ETFs,Tesouro,Valor_Pago_Corretora,Ativo
1,Antônio Freitas,55,Não Informado,02.6.542.351-14,MG,das Neves,Nordeste,6,Conservador,147557.77,47,3,17,0,4,45,529.84,Inativo
2,Srta. Nicole Viana,60,F,41.3.164.752-47,SP,Pereira,Sudeste,14,Arrojado,3380687.8,1,7,37,3,12,9,16541.98,Ativo
3,Bryan da Rosa,69,Não Informado,64.1.395.376-47,SP,Santos,Sudeste,16,Arrojado,6832318.47,18,44,7,15,40,3,51084.66,Ativo
4,Matheus da Paz,68,Não Informado,91.6.697.848-35,AL,das Neves dos Dourados,Nordeste,9,Conservador,149252.81,38,17,23,4,20,37,1200.93,Inativo
5,Alexandre da Cruz,37,Pendente,93.2.528.809-54,BA,Mendes Paulista,Nordeste,12,Arrojado,7757900.2,23,18,6,0,28,7,62805.61,Pendente
6,Vitor Hugo Mendes,73,Pendente,63.8.346.578-32,SP,Carvalho,Nordeste,10,Moderado,391561.85,7,3,28,8,20,11,2849.79,Ativo
7,João Gabriel Monteiro,64,Pendente,97.3.763.116-10,RJ,Barbosa dos Dourados,Sudeste,18,Conservador,118073.43,16,3,25,2,18,11,460.96,Inativo
8,João Miguel Cardoso,46,Pendente,10.8.013.267-88,SP,Moreira Verde,Sudeste,17,Conservador,134999.54,69,16,14,9,5,5,725.63,Ativo
9,Srta. Amanda Dias,55,Pendente,05.0.097.882-41,RJ,Cardoso de Goiás,Sudeste,13,Conservador,76415.65,71,32,18,4,19,13,247.46,Ativo
10,João Miguel Freitas,31,Não Informado,34.6.247.510-00,SP,Moreira de da Cruz,Sudeste,7,Conservador,119411.99,47,5,36,2,12,12,796.4,Ativo
11,Sr. Raul Fogaça,37,M,24.1.182.449-18,RJ,da Cunha,Sudeste,16,Conservador,107989.25,35,14,3,2,6,7,477.33,Ativo
12,Srta. Bruna Rezende,63,Não Informado,80.1.128.059-73,SP,Fogaça da Prata,Sudeste,16,Moderado,604327.25,8,2,25,8,1,18,5945.6,Ativo
13,Giovanna Caldeira,73,F,26.0.256.342-03,RJ,Azevedo,Sudeste,8,Moderado,919185.19,24,36,8,2,2,17,4826.66,Inativo
14,Dr. Gabriel Campos,43,Pendente,50.1.429.401-43,PR,Lopes,Sul,12,Moderado,377946.97,24,12,32,2,0,9,3369.33,Ativo
15,Luna Novaes,78,Não Informado,95.1.484.656-70,RJ,da Conceição de Ferreira,Sudeste,3,Moderado,684967.08,15,23,10,7,0,8,5435.63,Ativo
16,Vinicius Teixeira,61,F,87.2.148.951-37,MG,Pereira Verde,Sudeste,17,Arrojado,9463273.04,20,37,12,22,0,18,62834.98,Inativo
17,Sr. Daniel Silva,62,M,16.3.287.083-51,PR,Carvalho de Barros,Sul,11,Conservador,30323.44,3,24,31,5,18,49,153.8,Pendente
18,Davi Lucas da Cruz,46,Não Informado,34.8.734.714-86,PE,Campos das Flores,Nordeste,5,Arrojado,5780186.97,17,45,18,33,36,6,32180.09,Inativo
19,Letícia Souza,72,Pendente,67.0.546.688-04,SP,Vieira do Sul,Sudeste,14,Conservador,28536.44,16,28,3,4,11,35,152.99,Ativo
20,Srta. Nina Teixeira,59,Não Informado,27.2.046.537-26,PR,Mendes do Campo,Sul,13,Moderado,223219.86,10,16,7,5,3,14,1150.06,Ativo
21,Bruna Ramos,57,F,32.7.193.745-12,SP,Ferreira,Sudeste,14,Moderado,401817.23,2,22,40,3,13,0,3228.15,Ativo
22,Luiz Fernando Cavalcanti,33,M,49.1.905.865-90,SP,Santos do Oeste,Sudeste,17,Conservador,155780.59,11,23,37,6,18,16,558.73,Pendente
23,Sr. Marcelo Souza,45,Pendente,45.3.147.379-57,SP,Martins,Sudeste,1,Moderado,857864.73,3,25,33,7,9,19,3569.28,Inativo
24,Carlos Eduardo Moreira,62,Não Informado,77.0.143.634-09,MG,Duarte do Norte,Sudeste,7,Moderado,345471.89,6,14,35,7,6,16,927.56,Inativo
25,Ana Júlia Cardoso,48,Não Informado,98.9.413.435-18,MG,Campos de Teixeira,Sudeste,2,Moderado,540403.05,22,28,11,3,2,7,3397.47,Pendente
26,Cauê Ribeiro,78,Não Informado,11.6.719.022-03,SP,Ferreira,Centro-Oeste,5,Conservador,194884.69,39,5,35,5,17,35,1076.49,Ativo
27,Lara da Rosa,24,F,34.1.232.812-06,SC,Lima,Sul,17,Arrojado,7879991.01,18,14,21,18,18,16,35011.13,Pendente
28,Milena Moura,32,F,42.1.024.994-72,SP,Silveira de Porto,Sudeste,5,Moderado,226111.88,9,34,3,2,5,6,1906.4,Ativo
29,Enzo Gabriel Campos,66,Não Informado,90.2.787.429-80,SP,Aragão Verde,Sudeste,5,Moderado,954140.99,15,3,2,4,6,10,9250.67,Ativo
30,Nicolas das Neves,80,Não Informado,80.8.760.385-00,SP,Cardoso,Sudeste,19,Moderado,478368.85,11,38,15,8,7,15,2697.33,Ativo
31,Ana Carolina Dias,32,M,71.2.748.467-81,MG,Azevedo,Sudeste,2,Conservador,41508.09,38,18,28,1,19,46,135.61,Ativo
32,Sr. Luiz Gustavo Duarte,60,Não Informado,27.8.755.886-00,PA,Rodrigues do Oeste,Norte,14,Conservador,184451.76,36,35,11,8,8,44,786.26,Ativo
33,Thiago Ribeiro,26,Pendente,95.1.718.702-50,RJ,Ribeiro,Sudeste,7,Arrojado,3149249.9,11,25,13,19,37,17,26262.07,Ativo
34,Caroline Castro,57,M,34.3.161.172-97,SP,Pinto,Sudeste,4,Moderado,825220.23,8,16,3,3,13,12,5788.42,Ativo
35,Júlia Rezende,27,F,74.7.407.482-66,MG,Castro,Sudeste,9,Conservador,59380.19,26,21,23,8,3,7,413.15,Ativo
36,Sabrina Mendes,43,Não Informado,09.0.974.395-90,SP,Farias,Sudeste,16,Moderado,711150.96,13,34,8,4,10,5,4692.53,Pendente
37,Luiz Otávio Porto,29,F,28.5.884.247-70,SP,Pereira,Sudeste,13,Arrojado,7907236.97,20,6,25,2,32,3,24127.31,Inativo
